City,Gym_URL,Address
izmir,https://www.macfit.com/kulupler/izmir/balcova/macfit-balcova-kipa,"İnciraltı, Mithatpaşa Cd. No:46, 35330 Balçova/İzmir"
izmir,https://www.macfit.com/kulupler/izmir/bornova/macfit-kidsmall,Kazım Dirik Mah. 367/6 Sok. No:3/5 Bornova / İzmir
izmir,https://www.macfit.com/kulupler/izmir/bornova/macfit-point-bornova,"4174 Sok. No:4 Bağburnu Mevkii, Bornova/İzmir"
izmir,https://www.macfit.com/kulupler/izmir/buca/macfit-buca,Adatepe Mah. 62/7 Sok. No:1 Zeytin Stores Buca/İzmir
izmir,https://www.macfit.com/kulupler/izmir/cigli/macfit-mavisehir-koctas,"Cahar Dudayev Blv., Koçtaş 7/201, 35590 Çiğli/Mavişehir/İzmir"
izmir,https://www.macfit.com/kulupler/izmir/gaziemir/macfit-gaziemir-optimum,"Binbaşı Reşatbey, Akçay Cad. No:101, 35410 Gaziemir/İzmir"
izmir,https://www.macfit.com/kulupler/izmir/karsiyaka/macone-mavibahce,"Mavişehir, Caher Dudayev Blv. 35590 Karşıyaka/İzmir"
izmir,https://www.macfit.com/kulupler/izmir/konak/macfit-ege-perla,Çınarlı Mah. Ozan Abay Cad. No:8/309 Konak/İzmir
izmir,https://www.macfit.com/kulupler/izmir/konak/macfit-kibris-sehitleri,"Alsancak Mah., Kıbrıs Şehitleri Cad. No: 131 Konak/İzmir"
izmir,https://www.macfit.com/kulupler/izmir/konak/macstudio-mahall-bomonti,"Halkapınar Mah. Şehitler Cad. 1558. Sk. No:2, 35170 Konak/İzmir"
kocaeli,https://www.macfit.com/kulupler/kocaeli/gebze/macfit-kocaeli-gebze-center,"Tatlıkuyu Mah., Güney Yanyol Cad. No:310, Gebze/Kocaeli"
kocaeli,https://www.macfit.com/kulupler/kocaeli/izmit/macfit-kocaeli-41-burda,"Körfez Mah., Ömer Türkçakal Blv., Kocaeli/İzmit (İzmit Outlet Center karşısı)"
manisa,https://www.macfit.com/kulupler/manisa/yunusemre/macfit-manisa-statu-carsi,"Güzelyurt, 5785. Sk., 45030 Yunusemre/Manisa"
mersin,https://www.macfit.com/kulupler/mersin/yenisehir/macfit-mersin-ors-plaza,"Eğriçam Mah., 2224. Sok., 33160 Yenişehir/Mersin"
mersin,https://www.macfit.com/kulupler/mersin/yenisehir/macfit-mersin-yenisehir,"Güvenevler, Barbaros Blv. No:86
33140 Yenişehir/Mersin"
mugla,https://www.macfit.com/kulupler/mugla/bodrum/macfit-mugla-bodrum-midtown,"Ortakentyahşi Mah., Cumhuriyet Cad. Kemer Mevkii No:6, 48420 Bodrum/Muğla"
mugla,https://www.macfit.com/kulupler/mugla/bodrum/macone-mugla-bodrum-oasis,Bodrum/Muğla
sakarya,https://www.macfit.com/kulupler/sakarya/erenler/macfit-sakarya-ada-center,"Yeni, Sakarya Cad, No:324, 54100 Adapazarı/Sakarya"
sakarya,https://www.macfit.com/kulupler/sakarya/serdivan/macfit-sakarya-agora,Agora AVM  Arabacı Alanı Mah. Kasım Paşa Cad. No:10 Serdivan/Sakarya
samsun,https://www.macfit.com/kulupler/samsun/canik/macfit-samsun-piazza,"Yenimahalle, Çarşamba Cd. No:52, Canik/Samsun"
